Open time,Open,High,Low,Close,Volume,Trade count,VWAP
2024-01-18 00:00:00+00:00,42737.68,42932.0,40600.05,41293.5,29890.466539984263,392081,41649.2286
2024-01-19 00:00:00+00:00,41290.57,42212.0,40236.49,41624.07,27855.61115430643,384868,41263.728
2024-01-20 00:00:00+00:00,41623.94,41944.0,40000.0,41666.67,7096.28753251149,189193,41601.0113
2024-01-21 00:00:00+00:00,41666.67,42260.0,41472.49,41554.05,5268.617377100797,149600,41698.6924
2024-01-22 00:00:00+00:00,41670.0,41775.0,39372.44,39524.27,33767.231491860824,440095,40405.9444
2024-01-23 00:00:00+00:00,39510.0,40215.0,38501.0,39878.3,28114.91671063499,422574,39263.6977
2024-01-24 00:00:00+00:00,39878.28,40599.0,39382.15,40069.8,21769.698772998032,332209,39871.7516
2024-01-25 00:00:00+00:00,40079.87,40333.0,39503.0,39941.66,16735.523332165852,254578,39893.3563
2024-01-26 00:00:00+00:00,39941.66,42243.14,39805.95,41814.8,25444.491195520382,353696,41317.6759
2024-01-27 00:00:00+00:00,41814.96,42204.0,41383.94,42126.55,5516.929458381651,162020,41812.7495
2024-01-28 00:00:00+00:00,42126.55,42839.07,41617.53,42034.59,6906.719029741704,171880,42272.2683
2024-01-29 00:00:00+00:00,42025.0,43333.0,41787.35,43269.5,15637.156951694247,257880,42722.6475
2024-01-30 00:00:00+00:00,43272.7,43872.99,42680.2,42942.78,19919.379506534315,287585,43450.3182
2024-01-31 00:00:00+00:00,42955.0,43742.3,42265.77,42548.08,19446.882335773065,273550,42982.206
2024-02-01 00:00:00+00:00,42551.7,43276.19,41846.04,43075.2,15130.836461533445,269772,42551.1031
2024-02-02 00:00:00+00:00,43075.3,43700.0,42527.58,43181.66,15165.356765253753,250322,43044.4664
2024-02-03 00:00:00+00:00,43183.62,43366.0,42863.58,43010.67,3069.056594700402,129634,43100.0274
2024-02-04 00:00:00+00:00,43007.82,43109.0,42228.01,42568.55,3898.363555500461,132617,42798.4293
2024-02-05 00:00:00+00:00,42591.3,43540.0,42235.0,42657.67,11374.964509474737,221152,42746.4013
2024-02-06 00:00:00+00:00,42650.0,43387.0,42516.07,43095.79,9990.22960118174,220996,43026.4095
2024-02-07 00:00:00+00:00,43085.0,44430.0,42760.44,44343.61,17944.147697913057,274996,43585.6018
2024-02-08 00:00:00+00:00,44330.0,45637.38,44323.0,45329.6,24499.503102522547,379837,45038.0821
2024-02-09 00:00:00+00:00,45280.0,48230.02,45246.0,47160.41,30597.29528200841,473764,47080.0096
2024-02-10 00:00:00+00:00,47157.01,48190.0,46889.53,47767.06,8000.422264321736,209765,47450.9327
2024-02-11 00:00:00+00:00,47767.06,48614.0,47580.9,48316.3,8336.231897111864,216643,48205.0681
2024-02-12 00:00:00+00:00,48321.14,50363.42,47642.0,49941.81,28044.659629649363,432269,49359.7281
2024-02-13 00:00:00+00:00,49941.95,50423.42,48240.0,49725.36,26690.211311180094,412197,49354.8674
2024-02-14 00:00:00+00:00,49750.1,52136.8,49253.92,51858.59,28019.370171001457,468121,51290.5939
2024-02-15 00:00:00+00:00,51835.2,52890.0,51280.0,51934.29,25013.753372190306,486510,52090.5666
2024-02-16 00:00:00+00:00,51947.1,52608.2,51580.0,52162.64,17144.98668249129,352064,52033.0719
2024-02-17 00:00:00+00:00,52185.3,52214.05,50130.0,51700.0,8883.469746892166,220798,51417.1217
